ADM3_EN,ADM3_PCODE,Cnf,PUI,PUM,Date_Updated,Src,Lnk
Alfonso,PH042101000,1,18,537,07/04/2020,MHO,https://www.facebook.com/mayorrandysalamat/
Amadeo,PH042102000,0,,,07/04/2020,Gov. Remulla,https://www.facebook.com/proudcaviteno.official/?__tn__=kCH-R&eid=ARAb2JxiFRGi5yu4x9pZyWjSqtvMbkiQFHtV1_9dg2ExZhJU_c6wlUjthYfZvenFWRw0L09e88Q5vUHD&hc_ref=ARSCrKKZBv0KR53dWUF3FZB0r_ICBsZQ5t8TPL8MJt0SyeyVwg8IL2FnMt90wR1lA-s&fref=nf
Bacoor City,PH042103000,27,48,268,08/04/2020,LGU,https://www.facebook.com/CityGovtBacoor/
Carmona,PH042104000,1,4,64,08/04/2020,LGU,https://www.facebook.com/carmonalgu/
Cavite City,PH042105000,5,34,308,08/04/2020,LGU,https://www.facebook.com/CaviteCityOfficialPage/
City of Dasmariñas,PH042106000,16,98,1043,08/04/2020,LGU,https://www.facebook.com/proudcaviteno.official/?__tn__=kCH-R&eid=ARAb2JxiFRGi5yu4x9pZyWjSqtvMbkiQFHtV1_9dg2ExZhJU_c6wlUjthYfZvenFWRw0L09e88Q5vUHD&hc_ref=ARSCrKKZBv0KR53dWUF3FZB0r_ICBsZQ5t8TPL8MJt0SyeyVwg8IL2FnMt90wR1lA-s&fref=nf
General Emilio Aguinaldo,PH042107000,0,,,07/04/2020,Gov. Remulla,https://www.facebook.com/proudcaviteno.official/?__tn__=kCH-R&eid=ARAb2JxiFRGi5yu4x9pZyWjSqtvMbkiQFHtV1_9dg2ExZhJU_c6wlUjthYfZvenFWRw0L09e88Q5vUHD&hc_ref=ARSCrKKZBv0KR53dWUF3FZB0r_ICBsZQ5t8TPL8MJt0SyeyVwg8IL2FnMt90wR1lA-s&fref=nf
City of General Trias,PH042108000,4,182,774,08/04/2020,LGU,https://www.facebook.com/GenTriOfficial/
Imus City,PH042109000,15,296,850,06/04/2020,Imus City Epidemiology and Surveillance Unit,https://www.facebook.com/CityofImus/
Indang,PH042110000,1,,,07/04/2020,Gov. Remulla,https://www.facebook.com/proudcaviteno.official/?__tn__=kCH-R&eid=ARAb2JxiFRGi5yu4x9pZyWjSqtvMbkiQFHtV1_9dg2ExZhJU_c6wlUjthYfZvenFWRw0L09e88Q5vUHD&hc_ref=ARSCrKKZBv0KR53dWUF3FZB0r_ICBsZQ5t8TPL8MJt0SyeyVwg8IL2FnMt90wR1lA-s&fref=nf
Kawit,PH042111000,0,,,07/04/2020,Gov. Remulla,https://www.facebook.com/proudcaviteno.official/?__tn__=kCH-R&eid=ARAb2JxiFRGi5yu4x9pZyWjSqtvMbkiQFHtV1_9dg2ExZhJU_c6wlUjthYfZvenFWRw0L09e88Q5vUHD&hc_ref=ARSCrKKZBv0KR53dWUF3FZB0r_ICBsZQ5t8TPL8MJt0SyeyVwg8IL2FnMt90wR1lA-s&fref=nf
Magallanes,PH042112000,0,,,07/04/2020,Gov. Remulla,https://www.facebook.com/proudcaviteno.official/?__tn__=kCH-R&eid=ARAb2JxiFRGi5yu4x9pZyWjSqtvMbkiQFHtV1_9dg2ExZhJU_c6wlUjthYfZvenFWRw0L09e88Q5vUHD&hc_ref=ARSCrKKZBv0KR53dWUF3FZB0r_ICBsZQ5t8TPL8MJt0SyeyVwg8IL2FnMt90wR1lA-s&fref=nf
Maragondon,PH042113000,1,,,07/04/2020,Gov. Remulla,https://www.facebook.com/proudcaviteno.official/?__tn__=kCH-R&eid=ARAb2JxiFRGi5yu4x9pZyWjSqtvMbkiQFHtV1_9dg2ExZhJU_c6wlUjthYfZvenFWRw0L09e88Q5vUHD&hc_ref=ARSCrKKZBv0KR53dWUF3FZB0r_ICBsZQ5t8TPL8MJt0SyeyVwg8IL2FnMt90wR1lA-s&fref=nf
Mendez,PH042114000,1,,,07/04/2020,Gov. Remulla,https://www.facebook.com/proudcaviteno.official/?__tn__=kCH-R&eid=ARAb2JxiFRGi5yu4x9pZyWjSqtvMbkiQFHtV1_9dg2ExZhJU_c6wlUjthYfZvenFWRw0L09e88Q5vUHD&hc_ref=ARSCrKKZBv0KR53dWUF3FZB0r_ICBsZQ5t8TPL8MJt0SyeyVwg8IL2FnMt90wR1lA-s&fref=nf
Naic,PH042115000,4,,,07/04/2020,Gov. Remulla,https://www.facebook.com/proudcaviteno.official/?__tn__=kCH-R&eid=ARAb2JxiFRGi5yu4x9pZyWjSqtvMbkiQFHtV1_9dg2ExZhJU_c6wlUjthYfZvenFWRw0L09e88Q5vUHD&hc_ref=ARSCrKKZBv0KR53dWUF3FZB0r_ICBsZQ5t8TPL8MJt0SyeyVwg8IL2FnMt90wR1lA-s&fref=nf
Noveleta,PH042116000,3,,,07/04/2020,Gov. Remulla,https://www.facebook.com/proudcaviteno.official/?__tn__=kCH-R&eid=ARAb2JxiFRGi5yu4x9pZyWjSqtvMbkiQFHtV1_9dg2ExZhJU_c6wlUjthYfZvenFWRw0L09e88Q5vUHD&hc_ref=ARSCrKKZBv0KR53dWUF3FZB0r_ICBsZQ5t8TPL8MJt0SyeyVwg8IL2FnMt90wR1lA-s&fref=nf
