ADM3_EN,ADM3_PCODE,Cnf,PUI,PUM,Date_Updated,Src,Lnk
Alaminos,PH043401000,2,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Bay,PH043402000,1,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
City of Biñan,PH043403000,16,114,573,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Cabuyao City,PH043404000,5,68,232,08-Apr-20,CHO,https://www.facebook.com/ciocabuyaoph/
City of Calamba,PH043405000,12,279,679,08-Apr-20,CHO,https://www.facebook.com/IIPESO/photos/ms.c.eJwzNDUzMDU3MjI1NzE2NjYy0zOECBhDBAzhAibmYAEDEwABLAoU.bps.a.1547499098740642/1560572357433316/?type=3&theater
Calauan,PH043406000,1,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Cavinti,PH043407000,1,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Famy,PH043408000,0,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Kalayaan,PH043409000,1,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Liliw,PH043410000,1,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Los Baños,PH043411000,6,59,160,08-Apr-20,MHO,https://www.facebook.com/elbilagunaph/photos/pcb.2771992376370691/2771989553037640/?type=3&theater
Luisiana,PH043412000,0,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Lumban,PH043413000,1,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Mabitac,PH043414000,0,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Magdalena,PH043415000,0,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Majayjay,PH043416000,3,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Nagcarlan,PH043417000,1,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Paete,PH043418000,1,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Pagsanjan,PH043419000,1,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Pakil,PH043420000,1,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Pangil,PH043421000,0,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Pila,PH043422000,2,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Rizal,PH043423000,0,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
San Pablo City,PH043424000,4,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
City of San Pedro,PH043425000,19,143,229,08-Apr-20,LGU,https://www.facebook.com/sanpedro.laguna.7370?fref=search&__tn__=%2Cd%2CP-R&eid=ARAXYCoKAAlTSseVTgHNTTxjFEFTmvjmcF9BCcIKYGwI9VnbYa6qptnXbKIASEOtypukvnNHcz04RIoX
Santa Cruz,PH043426000,5,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Santa Maria,PH043427000,0,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
City of Santa Rosa,PH043428000,19,64,265,08-Apr-20,LGU,https://www.facebook.com/citygovernmentofsantarosa/
Siniloan,PH043429000,0,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
Victoria,PH043430000,4,,,08-Apr-20,PHO,https://www.facebook.com/GovRamil/photos/a.918277308188211/3548621198487129/?type=3&theater
