ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,Cnf,PUI,PUM,Date_Updat,Src,Lnk,
Agoncillo,PH041001000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Alitagtag,PH041002000,Batangas,PH041000000,3,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Balayan,PH041003000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Balete,PH041004000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Batangas City,PH041005000,Batangas,PH041000000,13,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Bauan,PH041006000,Batangas,PH041000000,2,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Calaca,PH041007000,Batangas,PH041000000,1,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Calatagan,PH041008000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Cuenca,PH041009000,Batangas,PH041000000,2,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Ibaan,PH041010000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Laurel,PH041011000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Lemery,PH041012000,Batangas,PH041000000,1,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Lian,PH041013000,Batangas,PH041000000,1,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Lipa City,PH041014000,Batangas,PH041000000,15,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Lobo,PH041015000,Batangas,PH041000000,1,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Mabini,PH041016000,Batangas,PH041000000,1,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Malvar,PH041017000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Mataasnakahoy,PH041018000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Nasugbu,PH041019000,Batangas,PH041000000,9,,,10/04/2020,PIO,https://www.facebook.com/batspio/,u
Padre Garcia,PH041020000,Batangas,PH041000000,1,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Rosario,PH041021000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
San Jose,PH041022000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
San Juan,PH041023000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
San Luis,PH041024000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
San Nicolas,PH041025000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
San Pascual,PH041026000,Batangas,PH041000000,1,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Santa Teresita,PH041027000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Santo Tomas,PH041028000,Batangas,PH041000000,1,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Taal,PH041029000,Batangas,PH041000000,1,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Talisay,PH041030000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
City of Tanauan,PH041031000,Batangas,PH041000000,7,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Taysan,PH041032000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Tingloy,PH041033000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
Tuy,PH041034000,Batangas,PH041000000,0,,,10/04/2020,PIO,https://www.facebook.com/batspio/,
