ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,Cnf,PUI,PUM,Date_updat,Scr,Lnk
Angono,PH045801000,Rizal,PH045800000,4,,,10/04/2020,PHO,https://www.facebook.com/rizalprovincialgov/
City of Antipolo,PH045802000,Rizal,PH045800000,58,,,11/04/2020,PHO,https://www.facebook.com/rizalprovincialgov/
Baras,PH045803000,Rizal,PH045800000,2,,,12/04/2020,PHO,https://www.facebook.com/rizalprovincialgov/
Binangonan,PH045804000,Rizal,PH045800000,9,,,13/04/2020,PHO,https://www.facebook.com/rizalprovincialgov/
Cainta,PH045805000,Rizal,PH045800000,43,,,14/04/2020,PHO,https://www.facebook.com/rizalprovincialgov/
Cardona,PH045806000,Rizal,PH045800000,5,,,15/04/2020,PHO,https://www.facebook.com/rizalprovincialgov/
Jala-Jala,PH045807000,Rizal,PH045800000,2,,,16/04/2020,PHO,https://www.facebook.com/rizalprovincialgov/
Rodriguez,PH045808000,Rizal,PH045800000,8,,,17/04/2020,PHO,https://www.facebook.com/rizalprovincialgov/
Morong,PH045809000,Rizal,PH045800000,2,,,18/04/2020,PHO,https://www.facebook.com/rizalprovincialgov/
Pililla,PH045810000,Rizal,PH045800000,0,,,19/04/2020,PHO,https://www.facebook.com/rizalprovincialgov/
San Mateo,PH045811000,Rizal,PH045800000,10,,,20/04/2020,PHO,https://www.facebook.com/rizalprovincialgov/
Tanay,PH045812000,Rizal,PH045800000,1,,,21/04/2020,PHO,https://www.facebook.com/rizalprovincialgov/
Taytay,PH045813000,Rizal,PH045800000,23,,,22/04/2020,PHO,https://www.facebook.com/rizalprovincialgov/
Teresa,PH045814000,Rizal,PH045800000,4,,,23/04/2020,PHO,https://www.facebook.com/rizalprovincialgov/
